0,2016.10.13 10:46,7月23日，北京八达岭野生动物园发生老虎伤人事故致一死一伤。32岁游客赵女士在东北虎园下车时，被老虎拖走受伤，其母周女士下车追女儿时遭老虎撕咬死亡。昨日，伤者赵女士讲述事发经过时称，自己因为坐车晕车，下车去往驾驶室被咬伤，并非因为吵架。昨天晚上，赵女士接受京华时报记者电话采访时回忆，事发当天早上，她开着 车去给车做了保养，并且一路开车到八达岭野生动物园，加上路上堵车，自己非常累。于是，进入动物园后，就让爱人开车，但由于爱人开车不熟练，并且当时正处 于上坡地段，自己有点晕车。赵女士说，由于自己开车不晕坐车晕，所以提出要开车，便下车去往驾驶室。在走到驾驶室时，赵女士听到了 巡逻车按喇叭的声音，但来不及了，老虎已经扑过来了。对于为何会在东北虎园下车，赵女士回应说，东北虎园的构造非常混乱，容易给人一种错觉。在看到“禁止下车”警示牌的地方自己并没有下车，而是到了允许下车的休息区才下的车。赵女士告诉记者，自己受伤确实很严重，但并不像网上说的那样下巴被咬掉，“我的腰部、面部、脊椎、牙齿等多部位受伤，右脸有一道20多厘米长的疤痕，面部 神 经受损，牙齿掉了两颗，咀嚼功能受到影响。”赵女士称，目前的医学治疗已经结束，之后右下颌部分有钢板要取出，还需进行一些康复性、整容性的后期治疗，毕 竟自己还这么年轻。赵女士称，“事发当时就应该发声。但是我们充分相信了当地的政府。爱人单位领导和地方政府也一再协调。他们采取迂回战术，这可能是危机公关的手段吧。等调查报告出来之后，动物园就有恃无恐了。动物园说仍在与我们商谈，那是天大的谎言。”对于网上的言论，赵女士称：这是诬陷。任何人都有判断失误的时候，我自己肯定有责任，但我不认同网民的“不作死不会死”这一说法。事发当晚，延庆的朋友圈都在疯传我的消息。看到资料被扒，挺无语的。事发后，赵女士的父亲一直在和动物园的协商。赵先生表示，8月29日，在和八达岭野生动物园协商时，园方提出按照处理交通事故的办法定损、定责、定赔。对于 死者周某，双方协定定损124.5万，并达成一致。家属认为动物园应对周某的死亡承担全部责任，但动物园表示只承担15%的责任，并予以赔偿。对于伤者赵女士，家属一方提出定损150余万，己方承担20%至30%的责任，动物园承担70%至80%的责任；但动物园只认可74.5万，不同意家属提出的精神损 失费和后期治疗费用赔偿。赵先生表示，截至目前，动物园一方也没有给出明确的答复，双方也未达成一致意见。昨天晚上，记者联系到八达岭野生动物园负责宣传的曹先生。对于家属指称的动物园没有及时采取有效救援措施一事，曹先生表示，根据视频显示，巡逻车当时就是过去救援的，事情已经很清楚了，不需要再做出解释。曹先生称，动物园会依据政府结论办事，政府的调查报告非常详细清楚，动物园没有责任，也就不存在赔偿的问题，如果有赔偿的话，也仅仅是出于道义上的。目前， 动物园仍在和家属沟通，但还没有结论，对于事情的进展和双方协商的问题，曹先生表示不方便透露。此外，曹先生说，东北虎园目前仍未开放，具体开放时间还不确定。[“我们要求的只是一个公道，一个澄清事实的机会。”]10月14日，八达岭野生动物园老虎袭人事件受伤者赵女士，接受了澎湃新闻的采访。在谈及事故的赔偿问题时，她表示，“人已经去世了，他就算是赔偿一个亿也好，或者怎么样也好。对于我们来说一条鲜活的生命没有了。受伤的人也是很难恢复以前的那种模样了。所以我们要求的只是一个公道，一个澄清事实的机会。”不过赵女士也表示说自己并非没有责任。她认为，自己的责任在于，一是对周围环境的误判，包括下车的一种草率。事情过去已经有将近3个月时间，赵女士在回忆起事发当时的场景依然十分清晰。她回忆说，那天因为车子走走停停，自己有点晕车。于是，就打算和爱人交换座位，自己来开车。当时，赵女士是一直走到了主驾驶位置之后，后面一辆小红车按了喇叭。但是那个时候老虎就已经向她扑过来了，已经为时已晚了。她说：“大家第一时间看到的就是我下了车，然后救援车辆它又第一时间出现了。但是后面的事情就没有了。”“我爱人也不停地敲打救援车的门。但是他们回应的方式就是，这种情况我们没法救，遇到这种情况我们也不敢下车。”事故消息在网上曝出后，也引发了网上诸多的讨论，更有网友对赵女士恶言相向。对此，赵女士表示，母亲去世的伤痛要大过对于舆论的关心。她认为，最后还是要用事实，用法律最终的判决来证明这些事情。
1,1月13日 09:36 ,小鬼我是一片云809,,只怪自已没吧，嫁武松多好。 
27,2016-11-23 10:23 ,有酒有故事119,,看到评论都是骂她的，我很心寒。她受了那么大的创伤，而且她妈也死了，要点赔偿怎么了？冤有头债有主，我们应该把她和老虎放一个笼子里面，让她和老虎去谈赔偿，而且只能出来一个。 
28,2016-11-23 10:08 ,小植丫,,怎么会有怎么厚颜无耻的荡妇 
29,2016-11-23 10:05 ,王天一一天王,,图片评论 ¡评论配图 
30,2016-11-23 09:23 ,吴柯莹小天使,,其实吧家人离世对他们来说确实是一种打击  但是错的人就是游客 用屁股想想都不能下车   而且动物园里有不准下车的字样  是他们不遵守  怪别人吗  所以  造成今天的局面  他们应该自己承担  我感觉如果赔偿的话只能赔偿个医疗费用 这种心情我们都能理解 但他们自己无视规则出了这种事情就不要责怪动物园 
31,2016-11-23 09:11 ,干吃不长肉星人,,你自己作死在先，还嫌别人珍爱生命。 
32,2016-11-23 08:54 ,小小南风吹,,天大地大，偏偏要到动物园换车？是不是碰瓷的 
33,2016-11-23 08:43 ,Juicy小屏果,,如果我妈因为我的过错而送命了，我的心灵创伤可能是因为这个。我会一直自责下去，还有脸要钱，留着自己享受、自己变美？能活着已经算老天眷顾了，被野生老虎咬，真以为老虎是病猫？ 
34,2016-11-23 08:42 ,Juicy小屏果,等待东南季风归来peaking,我去过很多次，我不会找死，这事也没发生在我身上，如果我妈因为我的过错而送命了，我的心灵创伤可能是因为这个。我会一直自责下去，还有脸要钱，留着自己享受、自己变美？能活着已经算老天眷顾了，被野生老虎咬，真以为老虎是病猫？ 
35,2016-11-23 08:28 ,Juicy小屏果,,给你钱就能弥补心灵创伤了？那么多去的，怎么就她被咬了，没警示牌个屁，出了猛兽区都有警示牌提示的，在北京生活夏天热开空调 还闷？你特么开窗户不闷？这什么借口？头晕还开车？你老公技术不好从城区开到八大领多少公里？非在老虎区换驾？下车后犹豫那半天，哪里像换驾？鬼才信这理由 
36,2016-11-23 08:19 ,杕树小二,,还要不要脸了？ 
37,2016-11-23 07:51 ,胡乱适应之1,,这官司要是能打赢，以后坐高铁坐飞机也可以以头晕为由自己随便开窗户开门透透气了。哈哈哈，出事了让他们赔钱。 
38,2016-11-23 01:45 ,北海有鲲may,缪永强12138,得饶人处且饶人，不要这么说啦 
39,2016-11-23 01:05 ,缪永强M,等待东南季风归来peaking,怎么说呢，动物园肯定多少有点责任，可以配备麻醉枪啊，等等。不过那个女的的确该死 
40,2016-11-23 00:59 ,缪永强M,,打官司时候，把老虎牵上来对证，然后老虎把女的咬死了，全剧终 
41,2016-11-22 22:24 ,宏伟敬仰,Shirley猫殿下,亲，你这样说就不对啦！它那是救援车 
42,2016-11-22 22:23 ,宏伟敬仰,权倾,他是赶到啦！但有做出相关的救援行动？作为救援车，没有救援人员这也叫负责任了？ 
43,2016-11-22 21:25 ,小剑鸡,¡,评论配图 
44,2016-11-22 21:23 ,小剑鸡,shui妈,事先有警告 （门票上，责任书还是什么上面忘了，都有写）， 被虎咬时有人救 （可以不要求下车救吗？都是野生虎，不是杂技团培训过的，没人能控制住！心疼救援人员！）， 事后也有赔偿 （赔了70万，家属觉得不够整容。） 你还想怎么样？别问我会怎么样，我不会下车。 
45,2016-11-22 21:15 ,小剑鸡,M一枚想旅行的女子,圣母在上 
46,2016-11-22 21:14 ,小剑鸡,在水一方哈塞呦,20分钟救出来的亲，不是掉在猪圈的三只猪中间，是在在三只老虎中间，你觉得多快是快啊！人命当然重要啊，但是我觉得20分钟解救出来真不算慢。不要问我如果我自己是当事人我会怎么说，我不会下车 
47,2016-11-22 21:10 ,小剑鸡,地瓜_2号,现在的媒体都有倾向性，都在引导大家的情绪 
48,2016-11-22 20:56 ,有江湖杂货铺,,如果是游览名山，上面提醒不许攀爬后果自负，你爬的时候脚没踩稳掉下来摔死。是不是把山告上法庭，为什么那么阧，我爬山的时候景区为什么不来阻止？为什么出了事故要赖别人？为什么不从自己身上找原因？ 
49,2016-11-22 20:52 ,小剑鸡,Baby_王俊凯,我不会下车的，毕竟在东北虎面前，自认为没什么胜算，你行你下好了 
50,2016-11-22 20:49 ,小剑鸡,地痞大改造,自己破坏规则产生的恶果当然是自己承担咯。对与错面前不能参杂太多感情 
51,2016-11-22 20:17 ,于盗梦,汉诺威97,是个有脑子的人都不会在有老虎的地方下车吧 
52,2016-11-22 20:06 ,Baby_王俊凯,桃阵菇ryoiyu,嗯 
53,2016-11-22 20:04 ,哎哈哎哈哎李,,学历技能什么的可以没有，但是不能没有常识啊。。老虎狮子是野生动物，它是陪咱们玩耍的吗😳 
54,2016-11-22 19:50 ,彡胖子,,跳楼致死是不是要告大楼护栏不够高？闯红灯被撞是不是要怪红灯不够红？怎么样才能让你满意？是不是死的不是你家人而是救你的工作人员，那么你还会这么冠冕堂皇？ 老虎是畜生，你的行为也高不到哪里！ 
55,2016-11-22 19:40 ,小小酱0,,脑子是个好东西，希望这位女士及其家人能有 
56,2016-11-22 19:31 ,桃阵菇ryoiyu,Baby_王俊凯,告诉我呀 哪里不留口德了？你自己要下的，我拉你了吗？好的，那我改一下，不管你走得好不好，反正我不送 
57,2016-11-22 19:15 ,爱吃龙虾的珊,,大家都是人生父母养的，没有谁欠谁的，救你你该感恩，不救你也没有不应该。毕竟除了父母没有人会无私的对你。母亲和丈夫的反应证明了一切……一个舍身救你，一个去敲玻璃窗户。如果这个敲玻璃窗户的人去救你，是否结局不会有人去世？ 
58,2016-11-22 19:14 ,全珍开,,希望法院秉公 不要坏了规矩 让无辜的动物园和守规矩者心寒！ 
59,2016-11-22 19:13 ,全珍开,,评论精彩！ 
60,2016-11-22 19:12 ,全珍开,,不过吧 个人认为亲妈应授予见义勇为基金 不能因为她们有血缘关系 就等同于人民内部矛盾处理… 
61,2016-11-22 18:52 ,9AlMEE,,是不是只有我一个人觉得好可怜 
62,2016-11-22 18:50 ,v源圆vb,,那就是说园方要承担那位因晕车而要下车初老虎咬的女人的责任，明明人家都说了不能下车了，那为什么因晕车下车被老虎咬了自己不负责任而要让别人赔钱呢。。简直没道德了。。是你自己晕车而要下车的，并不是什么非要下车的理由。。 
63,2016-11-22 18:45 ,张叨叨18,,“女人你成功引起了我的注意” 
64,2016-11-22 18:37 ,耒曉寶,,老虎和这家人之间差个武松 
65,2016-11-22 18:37 ,Ga-ga嘎嘎,,要點臉 
66,2016-11-22 18:36 ,熊笨是念着倒V,谭松韵姐姐,我就是看了才来说这些话的，别人说什么就信什么？没有自己的思维能力？ 
67,2016-11-22 18:31 ,起个名字真费劲2002,¡,评论配图 
68,2016-11-22 18:00 ,H罗莱尔特,,虽然我有错，但是我属于弱者啊，我弱我有理 
69,2016-11-22 17:57 ,S·Tone,,没完没了还 难道还让工作人员下车陪你死？ 
70,2016-11-22 17:56 ,Baby_王俊凯,桃阵菇ryoiyu,嗯没说 ¡评论配图 
71,2016-11-22 17:22 ,花自繁华,,鄙视你新浪新闻，为了做新闻博出彩来误导大众，你收了多少好处？帮着那个不守规矩的恶心女人。 
72,2016-11-22 17:13 ,紫莹啊哈,熊笨是念着倒V,让你看视频，你看了吗？再说了，全部的责任不在于人家自己，你们说的话太狠了吧。 
73,2016-11-22 17:13 ,紫莹啊哈,简直哦呵呵,让你看视频，你看了吗？再说了，全部的责任不在于人家自己，你们说的话太狠了吧 
74,2016-11-22 16:51 ,简直哦呵呵,谭松韵姐姐,正常人家都不会在老虎园区随意下车 
75,2016-11-22 16:45 ,桃阵菇ryoiyu,Baby_王俊凯,我什么都没说 你一上来就说别人脑残，没事，比你这种没脑的好，你爱下车你下呗。 
76,2016-11-22 16:41 ,Shel笑,,我的评论半个月被删除了😁 
77,2016-11-22 16:34 ,一一两个一最多了,,自己都不珍惜自己的生命 指望别人不是天方夜谭吗？自己一点错都没有吗？真是····无语 
78,2016-11-22 16:23 ,十八岁Sunny学姐,,动物保护协会在哪里快让这个女人给老虎赔偿154万元的肉 
79,2016-11-22 16:20 ,白衣黑女子,,商量下车跟吵架下车有什么区别嘛，关键还是下车啦，好嘛，老虎可不管你商量吵架的，自己违规下车被咬该 
80,2016-11-22 15:40 ,烟笼寒水月满秦淮,,应该告武松没帮你打虎 
81,2016-11-22 15:21 ,汉诺威97,北方汉子的邮局,鉴定你是吃屎长大的。本来就是动物园管理有问题。为什么老虎咬人了那么长时间园区没有响应？园区预警系统呢？麻醉枪呢？为什么那么长时间没有采取麻醉枪击老虎？在什么都不健全的情况下就对外开放营业？所谓的一纸协议不过是进园区以前让签游客随便写了一个东西，工作人员并没有严肃明确告知不能下车。 
82,2016-11-22 15:19 ,汉诺威97,权倾,是你们家人这样你们什么感受？你们了解情况吗？在这瞎搅和，本来就是动物园管理有问题。为什么老虎咬人了那么长时间园区没有响应？园区预警系统呢？麻醉枪呢？为什么那么长时间没有采取麻醉枪击老虎？在什么都不健全的情况下就对外开放营业？所谓的一纸协议不过是进园区以前让签游客随便写了一个东西 
83,2016-11-22 15:05 ,戴假牙的兔子,,只有我看到那个女的在换车的时候，开出门一直站在那不赶紧上车，老虎不是在她刚到车门那就过来的，是她在那站了好久才出现的 
84,2016-11-22 14:52 ,大叶子6065311735,地痞大改造,并不是破坏规矩的问题，你破坏了规矩还还怪别人就对么？ 
85,2016-11-22 14:40 ,活着就要遭罪,,出事之前不要命，出事之后不要脸，如果这都能索赔到，以后应该会有接连不断的人去野生动物园寻死了，想自杀的可以死，想骗钱的有钱拿，呵呵 
86,2016-11-22 14:08 ,云付燎原,,园方应该备有吓退老虎的枪支或者其他道具，虽然是禁止下车，但也会有突发事件比如老虎攻击车辆。天天都有车辆出入你觉得老虎还会怕你鸣笛加油门么。真不知道受害人为什么下车。如果真是与家人吵架，那你遇到危险时是负责安全的管理员救了你？是跟你刚吵完架的母亲！这次你的任性，她付出了生命的代价！ 
87,2016-11-22 14:04 ,red_榴莲糖,andy-mom,你确定按喇叭不是最好的驱赶方式吗？你那么厉害！动物园准备高薪聘请你来做救援队了！ 
88,2016-11-22 13:36 ,red_榴莲糖,风吹雨打任旧灿烂,我看就不该配什么救援车和救护车，看谁还敢随意下车？害得”个别人”的生存本能和常识判断都没有了！别车的车都没有人下车，你下什么车？不知道这里是野生动物园吗？ 
89,2016-11-22 13:36 ,天志URS,,其实每个人都害怕，那是老虎，大家也都不是武松，先把这女的违反规定放下，就当作是野外，。陆陆续续过去了这么多人，真就没一个帮忙的，除了职责在内的外。我也不说这事放在国外会怎样。就拿六七十年代的我老家来说， 
90,2016-11-22 13:34 ,雪不怕融化,,真是醉了，刚看到新闻，说是起诉要求赔偿157万，说真的，给你一万算作道德费就不错了，你咋那么狠呢，你母亲死了的确难过，但是那是你的过错啊，为什么你的错误让别人买单，分明是在用你母亲去世的事博得同情，敲诈钱的节奏，无语，希望败诉。 
91,2016-11-22 13:19 ,树毛,,不守规则的人，把自己老妈害死了，还能出来说话，真是服了，真是不要脸了！！ 
92,2016-11-22 13:04 ,怎么阔以ci兔兔,,那要这么说的话，该女士下车导致其母亲死亡，算故意杀人吗？我不太懂……但锅都让动物园背，我不服 
93,2016-11-22 12:56 ,夜汐破冰了吗,暴暴蓝_huyu,你到游乐场玩，园方说要系好安全带，结果途中你自己解开，掉下来摔死了，请问，园方需要赔偿你多少 
94,2016-11-22 12:54 ,夜汐破冰了吗,洋芋滚滚圆,hhhhhhhhh 
95,2016-11-22 12:46 ,用户3855205324,主人爷wb,老子不知道，不得乱求说，歪曲事实 
96,2016-11-22 12:44 ,我是纯洁的子子xi,,我的哥你老公都不敢下车你居然怪工作人员，，， 
97,2016-11-22 12:23 ,luyi妈咪,,老虎   怪我早饭没吃饱咯 
98,2016-11-22 12:23 ,时光gulia,,看停车位置，正好路中间，就是在外面也不可以停车的，所以她觉得以为出了动物园这个立场根本就站不住！ 
99,2016-11-22 12:05 ,AA_AA05003,,第一身为成年人应该有基本的意识。第二园方已经多次严令警告，再发生事情本来就是个人行为。第三园方尽到提醒义务，根据侵权责任法规定尽到义务不用负责。第四自己不守规矩还跟别人无理搅三分。。。 
100,2016-11-22 12:05 ,AA_AA05003,,第一身为成年人应该有基本的意识。第二园方已经多次严令警告，再发生事情本来就是个人行为。第三园方尽到提醒义务，根据侵权责任法规定尽到义务不用负责。第四自己不守规矩还跟别人无理搅三分。。 
101,2016-11-22 11:52 ,小月一日日,,肯定说假话了，就算是安全区按常识换人开应该靠边停车，为什么停在路中间？ 
102,2016-11-22 11:22 ,攀爬蜗牛2017,Baby_王俊凯,我觉得不需再去骂这她了，但的确是她自己的责任，园方最多给点抚慰金。 
103,2016-11-22 11:19 ,Qyh_钱元航,,动物园错在没能找武松当巡逻员 
104,2016-11-22 11:16 ,Siulukisss丶,,看了视频  前前后后那么多车经过都无人下车  怎么就成了休息下车区呢  死不要脸   自己错误下车死不要脸抓住唯一的稻草来压榨钱    你是死了妈的没人性了？ 
105,2016-11-22 10:42 ,_超人也会流眼泪,,看完评论一脸不爽 怎么说都是一条人命的丢失 为什么都在骂别人呢 谁对谁错已成过往 
106,2016-11-22 10:01 ,Baby_王俊凯,桃阵菇ryoiyu,不懂得留点口德？ 
107,2016-11-22 10:00 ,Baby_王俊凯,桃阵菇ryoiyu,你脑残？ 
108,2016-11-22 08:56 ,苏黎世菟孖,,凭什么管理员要为这种女人的愚蠢负责？ 老虎园内本就不该下车，是她自己作死才有这样的结果，如果她循规蹈矩这一切会发生么？自己不检讨错误还怪人家动物园不来救她，人家管理员的命就不是命？凭什么为你的愚蠢去送死？人犯了错不从自己身上找原因却找你赔钱找他赔钱的，这就是这个社会的病态， 
109,2016-11-22 04:20 ,桃阵菇ryoiyu,Baby_王俊凯,我以为会下车的只有那个女的，原来这里还有一个走好，不送 
110,2016-11-22 02:53 ,困而不睡是为神,,老虎这锅我不背 
111,2016-11-22 02:50 ,困而不睡是为神,冥汪汪汪星,友军 
112,2016-11-22 02:48 ,困而不睡是为神,和她睡还好吗,动物园的车估计只是用来收尸体的、救不救的吧，毕竟虎园敢下车的没多少，去我们那里的大青山野生动物园车门锁的死死的、别说开门下车了 
113,2016-11-22 02:43 ,困而不睡是为神,地痞大改造,就他妈你清高 
114,2016-11-22 02:42 ,困而不睡是为神,权倾,说的好、自己下车单挑老虎真是不多见 
115,2016-11-21 23:57 ,强迫症是病啊得治,笑笑1370,所以两方都有责任啊，园方应该承担安保措施和他们下车是两码事，如果不是下车，是大型动物攻击汽车造成人员受伤，或者逃逸，就园方的应对能力也是跟视频完整版差不多，无力救援 ，看着人死 
116,2016-11-21 21:21 ,笑笑1370,强迫症是病啊得治,谁让你下车来的 
117,2016-11-21 21:20 ,笑笑1370,Only几度思念,你要这么说 我得给你一百个赞 
118,2016-11-21 21:04 ,主人爷wb,用户3855205324,你晓得真相？？你当时坐在车里吗？ 
119,2016-11-21 20:04 ,Jenna饺子饺子,权倾,都有责任！ 
120,2016-11-21 14:51 ,我就爱迈小碎步,,按喇叭确实没用，应该开车撞，那问题来了老虎叼着人，那要怎么撞！！ 
121,2016-11-21 14:46 ,我就爱迈小碎步,,只能说你自己的责任，既然都判了动物园没有过错，就别假如你家人被咬了要不要赔，还有谁家的家人这么牛掰。 
122,2016-11-21 14:32 ,强迫症是病啊得治,,两方都有责任，伤着擅自下车肯定是这件事最关键的起因，但园方配备的救援车居然只有一名司机，且没有任何武器，就算几秒开过去起不到任何作用，而且这样高危的景区居然没有救护车没有医疗人员，20分钟后死者其实还有呼吸，但是坐着没有任何救援措施救护人员的面包车到20公里外的医院，早已失血过多死亡 
