0,2016-10-16 20:41,【张大伟回国投案自首，为什么追逃爱劝返？】近日，犯罪嫌疑人张大伟回国投案自首。在打击贪官外逃方面,我国主要依靠引渡、遣返、劝返等措施。从实践可看出，许多外逃人员已通过劝返的方式回国接受法律的审判和制裁。什么是劝返？为什么追逃爱劝返？
33,2016-10-17 22:00 ,D萌君,,看成大张伟 
34,2016-10-17 21:56 ,外国鸟,,[lb咦]原来这个样子~~ O网页链接 
35,2016-10-17 21:53 ,蒲公英旳等待,,第一眼大张伟，吓死人 
36,2016-10-17 21:48 ,用户48698,,吓死我…看成大张伟 
37,2016-10-17 21:46 ,MiniGem的迷你宝石耿泉景,,我也看成大张伟，吓我一跳?? 
38,2016-10-17 21:45 ,齐澈呐谂浪,,[懒得理你] O网页链接 
39,2016-10-17 21:42 ,昆山卖菜网,,这个。。。 O网页链接 
40,2016-10-17 21:41 ,宇宙之星9672,,所有人一眼都看成了大张伟 
41,2016-10-17 21:37 ,浅浅的归来,,为什么我老看成大张伟 
42,2016-10-17 21:36 ,哦i呀呀QWQ,,我就知道看成大张伟的一定不是我一个人 
43,2016-10-17 21:36 ,漫山-方枪枪,,(′(エ)｀) 哎哎。。。 O网页链接 
44,2016-10-17 21:35 ,孔阳今年没来上海明年来吗,RL饶琳,还以为是大张伟。。。。。。。 
45,2016-10-17 21:33 ,哒啦啦啦卡拉卡拉,,我看成了大张伟。。。。 
46,2016-10-17 21:27 ,大左左左左左,,一个不留神就看成了大张伟 
47,2016-10-17 21:25 ,katymmm,,[cai揍人]俺很不淡定了 O网页链接 
48,2016-10-17 21:23 ,oO小小小西几,大张伟, 吓尿了 
49,2016-10-17 21:21 ,马栏山来的蔡诗特,,我以为大张伟出事了😂😂😂 
50,2016-10-17 21:21 ,跨步英语,,简直是浮云啊~~~~   O网页链接 
51,2016-10-17 21:21 ,铁锅炖老公,,我看成了大张伟 
52,2016-10-17 21:20 ,happygoodthing,,今天的我真纠结！！！！help~ O网页链接 
53,2016-10-17 21:20 ,oo小扣子,吧-啦啦啦啦, 
54,2016-10-17 21:18 ,努力追梦的菠萝,,看到不止我一人看成大张伟我也就放心了 
55,2016-10-17 21:17 ,励志变瘦的丝丝,舒服吃喝, 
56,2016-10-17 21:15 ,小婷子咯,,一直看成大张伟， 
57,2016-10-17 21:15 ,蓝兰清幽,,台风来啦~~姐表示不淡定了[din汗] O网页链接 
58,2016-10-17 21:15 ,痴红轩,,YD的一天又开始了…… O网页链接 
59,2016-10-17 21:14 ,队长微妙,,看成大张伟！ 
60,2016-10-17 21:12 ,suhanxian,,不错！ O网页链接 
61,2016-10-17 21:12 ,包大人的三魔女,,一个眼花看成了大张伟 
62,2016-10-17 21:11 ,ELSWHEREooo,,看成大张伟…… 
63,2016-10-17 21:10 ,fridayaeprt,,我就知道肯定不止我一个人看成了大张伟看了评论发现果然是的 
64,2016-10-17 21:09 ,吴小吴m,,我去，我以为是大张伟 
65,2016-10-17 21:08 ,阳光明媚的美好生活-66,, ¡评论配图 
66,2016-10-17 21:07 ,-0RAN9E,棒[不要] ,¡评论配图 
67,2016-10-17 21:06 ,K哥的一些事一些情,,来打酱油的[推荐]~ ¡评论配图 
68,2016-10-17 21:06 ,_____我是一颗小兔子,,这条信息我刷到好几遍了 每次都看成大张伟 
69,2016-10-17 21:06 ,hivanessawong,,我也看成了大张伟，原来这里的热度是这样炒的 
70,2016-10-17 21:04 ,哎呀呀Tina,,原谅我眼晃的 看成 大张伟 
71,2016-10-17 21:04 ,无事忙HMJ,,低调的围观~我保证 ¡评论配图 
72,2016-10-17 21:01 ,Biscuit_Jia,蹦蹦跳跳兔子x1n,来！瞪大眼睛和我读“张。大。伟”你个%#*%｝…你一定是撸多了眼睛花了 
73,2016-10-17 21:00 ,11-L柏林,,我一眼看成了大张伟 
74,2016-10-17 20:59 ,正品代购-小徐,,焱晓佛策谦曦兵钧宙 O网页链接 
75,2016-10-17 20:59 ,打败拖延,,原来看成大张伟的这么多 
76,2016-10-17 20:59 ,艾特Zoebaby,,看成大张伟 
77,2016-10-17 20:59 ,欲臀位臀模臀膜臀桥臀控,, 看ss片[yz砸]棒[cai哭] O网页链接 
78,2016-10-17 20:58 ,半夏蓝海,,我也看成大张伟，吓我一跳😂 
79,2016-10-17 20:58 ,yumechou,,看成大张伟点进来我以为他抄袭被抓了 
80,2016-10-17 20:57 ,匿名的好友118,,︽⊙＿⊙︽介个..额… O网页链接 
81,2016-10-17 20:57 ,用户5324500919九月菊,,所有人一眼都看成了大张伟 
82,2016-10-17 20:56 ,佳佳Enzo,,看了评论才知道不是我一个人看成了大张伟 
83,2016-10-17 20:56 ,阳光里的樱花喵,,看了10遍，还是读成大张伟 
84,2016-10-17 20:56 ,惠州学院旅游系体育部,, 看ss片[lt灰飞烟灭]棒[处女座] O网页链接 
85,2016-10-17 20:55 ,-不良少女-x,,差点以为是大老师 
86,2016-10-17 20:55 ,Hi槑大叔,,如果你看成大张伟，就说明此条微博的编辑目的达成了！！！ 
87,2016-10-17 20:55 ,实木床厂家66,,我看成了大张伟 
88,2016-10-17 20:54 ,脑残雀嘿嘿嘿,贰得很有范er, 
89,2016-10-17 20:54 ,命在兜里,,因为大张伟，被顶到热门 
90,2016-10-17 20:54 ,篱笆外的古道i,SOMA_miao, 
91,2016-10-17 20:53 ,大白m1n9,,Ψ(｀▽′)Ψ 嗲色特~ O网页链接 
92,2016-10-17 20:53 ,蝙蝠侠的迷妹,,看成大张伟 
93,2016-10-17 20:53 ,M02738,ZachMiles,选择性耳聋眼瞎的你好好看看是在谁家评论区呀？无脑苍蝇粉的脑袋真是每个都值四个亿呀，名不虚传π_π 
94,2016-10-17 20:53 ,你可以叫我伍聪明,,[自行车]青青征钧倌艺脉斐 ¡评论配图 
95,2016-10-17 20:52 ,无尽心事,,第一眼以为是大张伟 醉了 
96,2016-10-17 20:51 ,用户6047290981,,图片评论 ¡评论配图 
97,2016-10-17 20:51 ,M02738,ZachMiles,你给自己看可以选择仅自己可见呀，公开转发却不允许别人公开评论。就事论事，和你不一样的观点就是撕？以自我为中心的博主给别人扣的这黑帽子也够大的，真是6啊，你的玻璃心还真是棒棒哒。地球围着你家转的吗？呵呵 
98,2016-10-17 20:51 ,快走啊你打不过他,,我还以为大张伟。。。。。。 
99,2016-10-17 20:50 ,Fly姐_Me_,,哈哈，原来全都看成了大张伟 
100,2016-10-17 20:50 ,我说hu先森你怎么那么可爱,,我还以为大张伟 
101,2016-10-17 20:50 ,许岩是男神,,我以为是大张伟！吓我一跳 
102,2016-10-17 20:50 ,May丶Queen陆雪,,我看成了大张伟。。 
103,2016-10-17 20:49 ,咿吖咿吖咿吖呦,,我还以为大张伟什么鬼的混音也不至于逃跑吧 
104,2016-10-17 20:49 ,蜜汁旺仔,,我以为是大张伟 
105,2016-10-17 20:49 ,JooJoo-97,,到底有多少个人看成了大张伟，🌚 
106,2016-10-17 20:48 ,饭点点点点,,艹。大张伟 
107,2016-10-17 20:48 ,Tina沙欧,,不是我一个人看成大张伟吧😂 
108,2016-10-17 20:48 ,black辞别,,好吧，继续累下去！[cai撞墙][cai撞墙][cai撞墙] O网页链接 
109,2016-10-17 20:47 ,是晓雪宝宝呀,,妈的，大张伟吓得我手机扔了。 
110,2016-10-17 20:47 ,名字太长记不住O_o,,我以为是大张伟 
111,2016-10-17 20:46 ,喝奶茶是会长胖的,,大老师！是你吗大老师！😂😂😂 
112,2016-10-17 20:46 ,九朵小红花儿,,大张伟怎么了？ 
113,2016-10-17 20:46 ,用户5314816532,,有第一次看对的吗 
114,2016-10-17 20:45 ,Augu_snow,,读了好几遍都是大张伟，吓我一跳！ 
115,2016-10-17 20:45 ,月光下读书-,,一排的大张伟…… 
116,2016-10-17 20:45 ,JUNEKIM12,,评论看的我都不认识伟字了 
117,2016-10-17 20:44 ,ZachMiles,M02738,你有病吧，我就转发个微博自娱自乐也要被你撕。 
118,2016-10-17 20:43 ,瓶子六分满,,看到评论我才知道我不是第一个看成大张伟的人 
119,2016-10-17 20:43 ,_Smile梁,,我就知道肯定不止我一个人看成了大张伟看了评论发现果然是的 
120,2016-10-17 20:43 ,七夕ing77,,我也是看成大张伟进来的。。😂😂😂 
121,2016-10-17 20:43 ,叁Bo-鼬,,不收取任何费用，真实可靠 O网页链接 
122,2016-10-17 20:42 ,-浅色夏沫---,,679134679023568902456 O网页链接 
123,2016-10-17 20:42 ,猫哥有只猫,,我看成了大张伟！！！ 
124,2016-10-17 20:41 ,昕昕不会喝酒,,看成大张伟了，不是我一个人吧 
125,2016-10-17 20:41 ,Z思思兔,,看到大张伟就来评论找同伴了 
126,2016-10-17 20:41 ,丢不下体重的妞儿,,看评论不止我一人看成大张伟  我也就放心了 
127,2016-10-17 20:41 ,乔公子_SR_,,第一眼大张伟，哈哈哈什么鬼 
128,2016-10-17 20:41 ,天涯有荒草,,为什么大张伟被通缉了？ 
129,2016-10-17 20:41 ,是琳哥哥啊,,我一直以为只有我一个看成了大张伟 
130,2016-10-17 20:40 ,我叫李文静儿_08,,我看成了大张伟🙈 
131,2016-10-17 20:40 ,柠檬薄荷加点冰L,,张大伟，大张伟傻傻分不清楚。大张伟躺着也中枪呀！😂 😂 😂 
132,2016-10-17 20:39 ,并不精致的热心市民,,我给看成大张伟了。。 
133,2016-10-17 20:39 ,与我长拥_,,大张伟听说你被抓了？？？手动艾特大张伟 
134,2016-10-17 20:39 ,懒得取名fcy,,我以为是大张伟 
135,2016-10-17 20:39 ,李小亭儿,,看来不是只有我看成大老师了 
136,2016-10-17 20:38 ,天上有云在走,,看成大张伟了 
137,2016-10-17 20:38 ,Ivy_0530pwawr,,我看成了大张伟 
138,2016-10-17 20:37 ,Mani_s,,(*ノω）哟，好久不见！ O网页链接 
139,2016-10-17 20:37 ,后腿青年,,上周还是湖南卫视，现在就自首啊，哈哈！ 
140,2016-10-17 20:37 ,禹家小西,,我也看成大张伟了 
141,2016-10-17 20:37 ,兔宝宝XXB,蕭熙熙a笑嘻嘻,而且我以为是大张伟 😄 
142,2016-10-17 20:36 ,7788623嘻嘻嘻,,看成大张伟了 
143,2016-10-17 20:36 ,超级变脸娃娃,,我也以为是大张伟 
144,2016-10-17 20:36 ,兔宝宝XXB,蕭熙熙a笑嘻嘻,看着头痛一些念不通的词😁 
145,2016-10-17 20:36 ,游手好闲闲云野鹤,,大张伟 
146,2016-10-17 20:35 ,丫吖王,张国伟_国家伟大, 
147,2016-10-17 20:35 ,向日葵小颖子,,只有我看成了大张伟吗？！ 
148,2016-10-17 20:35 ,圆滚滚_奋斗ing,,我以为大张伟 
149,2016-10-17 20:35 ,咱别太把自己当回事儿,,还以为是大张伟抄袭被抓了呢 
150,2016-10-17 20:35 ,Iam小回忆,,吓死了，还以为是大老师呢 
151,2016-10-17 20:35 ,_arunsri,O,网页链接 
152,2016-10-17 20:35 ,鎲糭1986,,爱美的朋友看过来呀~ O网页链接 
153,2016-10-17 20:34 ,贰得很有范er,脑残雀嘿嘿嘿, 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 
154,2016-10-17 20:34 ,喜型,老公最爱的老婆,某些现象三 O网页链接 
155,2016-10-17 20:33 ,酉梓星,,差点看成大张伟 
156,2016-10-17 20:33 ,喜型,没有卤的卤鸡蛋,某些现象二 O网页链接 
157,2016-10-17 20:33 ,夜曲小卤蛋,,妈的看成了大张伟 
158,2016-10-17 20:33 ,小花喵小花,,误以为是大张伟？。。。 
159,2016-10-17 20:33 ,喜型,筱丹83,某些现象 O网页链接 
160,2016-10-17 20:32 ,拾荒者YG,逆着洋流的羽毛,直到看到你的评论，回头又看一眼 
161,2016-10-17 20:32 ,独行舟独行,,原来不止我一个人看成了大张伟🙈🙈 
162,2016-10-17 20:32 ,不要和我抢名字好嘛,,妈的智障第一眼看成大张伟 
163,2016-10-17 20:32 ,深巷凄凉,,第一眼看成了大张伟了，握草 
164,2016-10-17 20:32 ,小小丫小小胖,,竟然看成大张伟 
165,2016-10-17 20:31 ,懒人出没所向无敌,,我老看成大张伟 
166,2016-10-17 20:31 ,花鸟小生,,我一直说，大张伟到底犯了什么罪。妈蛋。套路 
167,2016-10-17 20:31 ,璐本璐-,,我看成了大张伟。 
168,2016-10-17 20:31 ,包子君NZT,,不要任何费用  真实可靠 O网页链接 
169,2016-10-17 20:31 ,哈布朵的妈妈,,我也看成大张伟了😉[好囧] 
170,2016-10-17 20:30 ,青芒198002,,我还以为是大张伟 
171,2016-10-17 20:30 ,我叫晁土豆,,我看成大张伟了 
172,2016-10-17 20:30 ,杨小吃货要闪闪发亮,,原来不只我一个人看成了大张伟😂 
173,2016-10-17 20:30 ,胶地人啊啊啊,,大张伟 
174,2016-10-17 20:29 ,奋斗的二哈妹纸,,吓死人 
175,2016-10-17 20:29 ,用户1933390913,,大张伟回国投案 
176,2016-10-17 20:29 ,生如繁花之灿烂,,大张伟，我勒了个去 
177,2016-10-17 20:29 ,大先生MIKE,,看成大张伟的举手我看看有几个？@大张伟
178,2016-10-17 20:29 ,这里三三阿,,我看成了大张伟，心想着不对呀 
179,2016-10-17 20:28 ,欣欣欣_Axiner,往事随风815,➕1 
180,2016-10-17 20:28 ,温柔的一只,,看成大张伟的不止我一个？？？ 
181,2016-10-17 20:28 ,VZHIFC,,看成大张伟的转走了 
182,2016-10-17 20:28 ,我说我世界第一丑没人反对吧,,人间精品躺枪了。 
183,2016-10-17 20:27 ,燕小小小小西,,咋一看看成了大张伟 
184,2016-10-17 20:27 ,少女木木夕的忧愁,,看成了大张伟 哈哈哈 一脸蒙蔽 
185,2016-10-17 20:27 ,素颜马尾好姑凉2003,,看成大张伟… 
186,2016-10-17 20:27 ,空仓谨,,[打哈气]书山仙晖菲菲纪 O网页链接 
187,2016-10-17 20:27 ,waleehom,,我还以为大张伟被抓了 
188,2016-10-17 20:27 ,一只软寐,,大张伟 
189,2016-10-17 20:26 ,结束也要完美落幕,,我也以为是大张伟呢 
190,2016-10-17 20:26 ,我的猫粮先森,,我以为大张伟， 
191,2016-10-17 20:26 ,熊宝很熊的哦,,我居然看成了大张伟！！！还在纳闷呢，大张伟不是前几天还在金鹰节上亮相了吗？这会怎么就自首了呢？还好是张大伟，吓死我了 
192,2016-10-17 20:26 ,是雷不是蕾啦,,总以为是大张伟 
193,2016-10-17 20:26 ,喜欢淋雨的手擀面,,小编辛苦了~来，么一个 O网页链接 
194,2016-10-17 20:25 ,欧家有女初长成,,评论里就没说案件的，都说是看错看成大张伟的😂 
195,2016-10-17 20:25 ,這是一個安排,,[江南style][丘比特] O网页链接 
196,2016-10-17 20:25 ,蕃茄也炒蛋,弓长弓也弓也,作者估计存心的 
197,2016-10-17 20:25 ,圆子的菲佣,,多少人看到了大张伟赞我 
198,2016-10-17 20:25 ,徐大鱼想要很多很多,,看到评论，笑惨 
199,2016-10-17 20:25 ,M醉梦仙霖L,,跟我一样马虎的人不少啊 看成大张伟了  
200,2016-10-17 20:24 ,穗花向日葵,,图片评论 O网页链接 
201,2016-10-17 20:24 ,木情小栈茅茅,,颤抖者.恐怖网站，喜欢重口味的必备网站 O网页链接 
202,2016-10-17 20:24 ,无辣不欢biubiu,,以为大张伟 
203,2016-10-17 20:24 ,不吃番茄jiang-,,图片评论 O网页链接 
204,2016-10-17 20:23 ,你拥我暖loveyou,,不要费用，真实可靠 O网页链接 
205,2016-10-17 20:23 ,蓝皮大橘子,,好多人看成大张伟啊，那么熏疼大张伟三秒 
206,2016-10-17 20:23 ,我要的阳光样,,我看成了大张伟 
207,2016-10-17 20:23 ,马祎晓,,我还以为是大张伟😂😂 
208,2016-10-17 20:23 ,发条影子,,以为大张伟，想这哥们儿什么时候这么出息了贪污叛逃 
209,2016-10-17 20:23 ,蚱蜢蚂蚱呵呵哒,,看成大张伟的抱紧我 
210,2016-10-17 20:23 ,C2丶麗姐,,看成大张伟的举手🙌 
211,2016-10-17 20:23 ,路人CHJJ,,看成了大张伟 
212,2016-10-17 20:23 ,gun-七匠,,倌齐舒溢川宏杰莉悟 O网页链接 
213,2016-10-17 20:23 ,墨兮yz-,,看成了大张伟的抱紧我 
214,2016-10-17 20:22 ,M02738,ZachMiles,毛里被宇宙真理洗脑的以自我为中心的苍蝇粉真是无脑呀，跑到公共区域造谣还以为在自家呢？叫谁走呢？别自嗨啦，装什么装起来嗨！只要一个人没有犯法，那么他取得任何成功都是合理的。愿苍蝇喷子们一如既往干啥啥不行，尽享人生失败。 
215,2016-10-17 20:21 ,莫里诺的宇宙,,🙄还以为是大张伟 
216,2016-10-17 20:21 ,一只傻以初-,,我居然看成了大张伟，还是两遍， 
217,2016-10-17 20:21 ,橘子树种植专家,,吓死还以为张国伟 
218,2016-10-17 20:21 ,琳雾1997,,原来看成大张伟的不只是我一个人😂 
219,2016-10-17 20:20 ,峰情无限Vampire,,看看是哪类的劝返吧，如果是逃到港澳台就无可奈何了 
220,2016-10-17 20:20 ,胖哒哒-圆滚滚,,的确看成了大张伟，我还想他咋了还自首 
221,2016-10-17 20:20 ,用户6047290981,,图片评论 O网页链接 
222,2016-10-17 20:20 ,十亿小哥哥的梦,,看成了嫌疑犯大张伟 
223,2016-10-17 20:20 ,岳略略略略,,竟然看成大张伟 
224,2016-10-17 20:20 ,任你如诗如画00,,我看成了大张伟 
225,2016-10-17 20:20 ,香菜真香呐,,图片评论 O网页链接 
226,2016-10-17 20:19 ,西风Man7,,[lxhx蠕过][lxhx蠕过]支持一下吧。 O网页链接 
227,2016-10-17 20:19 ,弓长弓也弓也,蕃茄也炒蛋,对的 不止你一个 是所有人 
228,2016-10-17 20:18 ,你我都会好,,看的是张大伟想的是大张伟 
229,2016-10-17 20:18 ,渚坃1981,,老大就是老大，果然很给力！ O网页链接 
230,2016-10-17 20:18 ,Ting--Stop,,一眼看成了大张伟 
231,2016-10-17 20:17 ,一只昊然小迷妹,,第一眼看成大张伟，吓了我一跳！ 
232,2016-10-17 20:17 ,村里有条小萌宠,,第一眼看成了大张伟 
233,2016-10-17 20:17 ,慧子是爷们儿,O,网页链接 
234,2016-10-17 20:16 ,A_婉,大张伟, 
235,2016-10-17 20:16 ,蒙德拉的魔法棒,,我居然看成大老师了[囧][囧][囧] 
236,2016-10-17 20:16 ,鵝咚陳,,[din推撞]瞅瞅！ O网页链接 
237,2016-10-17 20:16 ,菜菜不是鱼,,只有我一个人看成了大张伟嘛？ 
238,2016-10-17 20:16 ,玥LLL劉,,妥妥的看成了大张伟 
239,2016-10-17 20:15 ,M02738,ZachMiles,现有法律都不遵守的人叫什么？您装什么逼，唱什么虚伪高调呢？ 
240,2016-10-17 20:15 ,年轻行路人,,总有人想搞个大新闻 
241,2016-10-17 20:15 ,Dora_Mmmmm,,第一反应是大张伟的点赞 
242,2016-10-17 20:15 ,RL饶琳,燕语武大娘, 评论笑死 
243,2016-10-17 20:15 ,杨静aiya,,以为是大张伟 
244,2016-10-17 20:15 ,Sooooooooooooooooo-Cool-Winter,,看成大张伟的举爪 
245,2016-10-17 20:15 ,劉灥淼,,呃……硬生生的看成了大张伟 
246,2016-10-17 20:15 ,小郭贝,,都是看成了大张伟！吓了我一跳！哈哈😄，这个新闻内容没人看，都去讨论大张伟了 
247,2016-10-17 20:14 ,兔子家二大爷,,看成大张伟 
248,2016-10-17 20:14 ,水晶的兔,,图片评论 ¡评论配图 
249,2016-10-17 20:14 ,小星星君star,,我以为大张伟。。 
250,2016-10-17 20:14 ,王女士的小猪,,我也看成大张伟 
251,2016-10-17 20:14 ,披着夜空的外衣,,大张伟表示无辜。。。 
252,2016-10-17 20:13 ,夏天夏天快来-,,大张伟 有毒啊哈哈 
253,2016-10-17 20:12 ,萧小鱼儿的围脖,,看了评论我放心了，原来不是我一个人眼瞎 
254,2016-10-17 20:12 ,哟-辉哥,,热评全是大张伟啊 
255,2016-10-17 20:12 ,你是猪嘛口合口合,,看成大张伟 
256,2016-10-17 20:12 ,Coolcoco008,,以为大张伟 
257,2016-10-17 20:11 ,胡扯也是一种学问,,大张伟…… 
258,2016-10-17 20:11 ,蕉蕉美人,,这写得也太给力了，不错不错！ ¡评论配图 
259,2016-10-17 20:09 ,Mc巫婆,,第一眼看成的大张伟😂😂 
260,2016-10-17 20:09 ,美美哒的李大胖,,我能说我看成了大张伟么 
261,2016-10-17 20:09 ,一虎虎的绵绵一,,大张伟 
262,2016-10-17 20:09 ,你走了不看我,,哈哈哈哈 
263,2016-10-17 20:09 ,LoveHh_92,牛奶味的小太阳快到碗里来, @爆米花给我吃啊 
264,2016-10-17 20:09 ,吃土少女的日常biubiu,,看成大张伟的一定不止我一个人 
265,2016-10-17 20:08 ,四_葉_草_,,求问…只有我一个人看成了大张伟吗？😂😂😂 
266,2016-10-17 20:08 ,Chi-Kwan-yiu,,哇喔。。。 O网页链接 
267,2016-10-17 20:08 ,JIANGcY_J,,恩 还挺好的呢。呵呵 O网页链接 
268,2016-10-17 20:08 ,小艳8008,,每次都看成大张伟 
269,2016-10-17 20:08 ,山林-夕雨儿,,恍惚间看成了大张伟 
270,2016-10-17 20:08 ,惠文小盆友,,咋眼看，我以为是大张伟 
271,2016-10-17 20:08 ,恍姐daily,,我他妈以为大张伟我日绝对不止我一个！ 
272,2016-10-17 20:08 ,-圈--,大张伟, 
273,2016-10-17 20:07 ,记得儿家字阿莼,,……第一反应是大张伟 
274,2016-10-17 20:07 ,sky-rainbow715,,我居然看成了大张伟，还好不是只有我一个人 
275,2016-10-17 20:07 ,泳小鱼儿曦曦,,有多少人跟我一样看成了大张伟 
276,2016-10-17 20:07 ,岁月温柔几分,,我还以为是大张伟。 
277,2016-10-17 20:07 ,奔跑的杏子,,看成大张伟了 
278,2016-10-17 20:07 ,JoGookgi,,我以为大张伟又出了什么事 
279,2016-10-17 20:06 ,Zoeyiiiii,,看成大张伟的肯定不止我一个 
280,2016-10-17 20:06 ,InrisandRita,,有多少人和我一样看成了大张伟 
281,2016-10-17 20:05 ,小镇姑娘821,,我还以为我哪天少刷了微博，错过了大张伟的新闻呢 
282,2016-10-17 20:05 ,大猫家上门美业,,看成大张伟 
283,2016-10-17 20:05 ,邓裕_,,不就抄袭吗？这么大罪啊 
284,2016-10-17 20:05 ,Ning-吧啦,oo小扣子,就算你告诉我了  可我还是看成了大张伟 
285,2016-10-17 20:05 ,Christy_娜,,看成大张伟了 
286,2016-10-17 20:04 ,我不是来微博搞笑的木子,,看到标题的时候我一直在想大张伟最近犯了啥事.... 
287,2016-10-17 20:04 ,小妖怪姣胖胖,,大张伟……哈哈 
288,2016-10-17 20:04 ,黃煒linglingling,,我还以为大张伟咋了 
289,2016-10-17 20:04 ,Xback-洋洋欧尼,,卧槽，我为什么看成了大张伟 
290,2016-10-17 20:04 ,唠叨的阿玄,,看成大张伟了 
291,2016-10-17 20:03 ,CathyJH-II,,看成大张伟 
292,2016-10-17 20:03 ,半个瓜皮爬上来,,吓死 我说大张伟不是还在主持天天向上吗 
293,2016-10-17 20:03 ,橙汁水瓶子order,,吓死个人，以为是大老师 
294,2016-10-17 20:02 ,迷彩-西装,,两天了，评论里清一色的大张伟 
295,2016-10-17 20:01 ,积点口德能死啊,,[加油啊]很赞。 O网页链接 
296,2016-10-17 20:01 ,红七公当妈了,,第一眼看成大张伟的举个手 
297,2016-10-17 20:01 ,LEE-crystal,,ヽ(′Д｀)人(′Д｀)人(′Д｀)ノ  O网页链接 
298,2016-10-17 20:00 ,金蝉银翎,,看了好几遍，啊，原来不是大张伟 
299,2016-10-17 20:00 ,子天_,,我看成了大张伟 
300,2016-10-17 19:59 ,歌长青,,真看成了大张伟 
301,2016-10-17 19:58 ,zclpiaotjhap,,回复 
302,2016-10-17 19:58 ,我想要个安妮呀,,我看成了大张伟，以为他犯什么事了。。。。 
303,2016-10-17 19:57 ,X-1943,,原谅我第一眼看成了大张伟 
304,2016-10-17 19:56 ,高仕臻,,大张伟 张大伟 MLGB 
305,2016-10-17 19:56 ,Trustao,,看成大张伟的抱紧我 
306,2016-10-17 19:56 ,-芒果牛奶冰-,,看成大张伟…… 
307,2016-10-17 19:56 ,Paneamin,,实力上头条 
308,2016-10-17 19:56 ,小黑xsss,,卧槽看成大张伟！！ 
309,2016-10-17 19:56 ,cool暄暄,,吓我一跳，以为大张伟 
310,2016-10-17 19:55 ,照顾好你家七舅姥爷,,因为钱用完了 
311,2016-10-17 19:55 ,Estelle_14翼,,第一眼看成了大张伟 
312,2016-10-17 19:54 ,小尊-SPCD,,大张伟咋变这样啦，是去韩国整形吗 
313,2016-10-17 19:54 ,-美达--,,张大伟不是歌手吗 
314,2016-10-17 19:54 ,一个陈冬天,,原来不是只有我一个人看成大张伟 
315,2016-10-17 19:54 ,阿飞-的小蝴蝶,,我居然看成大张伟进来了 
